store,state,empft,emppt,nmgrs,hoursopen,time
46,0,30,15,3,17,0
49,0,7,7,4,13,0
506,0,3,7,2,10,0
56,0,20,20,4,12,0
61,0,6,26,5,12,0
62,0,0,31,5,12,0
445,0,50,35,3,18,0
451,0,10,17,5,24,0
455,0,2,8,5,10,0
458,0,2,10,2,10,0
462,0,3,20,3,13,0
468,0,40,30,3,18,0
469,0,8,27,5,18,0
470,0,11,30,3,18,0
474,0,6,9,3,13,0
481,0,5,18,3,10,0
483,0,1,15,1,10,0
487,0,10,6,2,12,0
488,0,20,13,3,16,0
489,0,5,23,2,14,0
490,0,10,13,4,16,0
493,0,27,12,3,16,0
495,0,4,28,3,15,0
496,0,10,15,3,16,0
499,0,0,28,5,12,0
509,0,3,16,3,16,0
515,0,7,16,4,16,0
37,0,21,9,7,17,0
39,0,1,32,2,18,0
40,0,10,20,7,17,0
41,0,0,27,6,17,0
42,0,17,4,5,17,0
45,0,0,24,6,16,0
47,0,25,15,.,17,0
48,0,6,20,3,14,0
50,0,6,10,3,12,0
51,0,0,15,3,13,0
57,0,30,10,3,12,0
58,0,8,25,3,12,0
59,0,0,15,3,11,0
60,0,10,20,5,12,0
408,0,2,12,3,10,0
430,0,20,25,4,15,0
432,0,20,55,5,16,0
433,0,10,30,4,16,0
434,0,15,50,5,16,0
435,0,1,38,3,16,0
438,0,0,9,3,8,0
440,0,0,25,3,12,0
441,0,30,10,3,12,0
443,0,4,19,4,12,0
444,0,12,20,3,13,0
446,0,.,.,3,18,0
448,0,8,18,4,18,0
449,0,0,25,3,18,0
450,0,2,21,3,17,0
454,0,1,9,3,10,0
459,0,5,20,3,16,0
466,0,8,18,4,12,0
471,0,25,20,4,18,0
472,0,38,2,3,17,0
473,0,5,27,4,17,0
475,0,25,8,3,15,0
476,0,6,30,3,18,0
477,0,8,28,4,17,0
478,0,32,25,4,19,0
485,0,1,9,3,10,0
491,0,4,25,2,13,0
492,0,2,16,3,13,0
497,0,12,15,3,12,0
498,0,20,10,3,12,0
501,0,14,15,3,17,0
503,0,8,14,4,17,0
510,0,7,25,4,16,0
511,0,4,16,3,17,0
514,0,5,20,3,16,0
516,0,6,23,3,16,0
521,0,3,20,3,17,0
522,0,2,30,4,16,0
113,1,0,22,4,16,0
123,1,0,20,5,15,0
135,1,10,20,4,13,0
138,1,5,26,2,12,0
153,1,0,25,9,17,0
181,1,0,13,3,11,0
191,1,30,20,4,12,0
231,1,.,10,3,16,0
236,1,0,34,4,17,0
254,1,20,10,3,16,0
255,1,0,14,3,14,0
294,1,0,35,3,16,0
306,1,15,15,3,17,0
311,1,0,30,4,12,0
315,1,5,19,2,16,0
335,1,9,10,3,17,0
372,1,0,45,5,19,0
6,1,2,2,2,7,0
14,1,10,8,2,11,0
26,1,30,15,4,16,0
27,1,4,10,4,10,0
30,1,6,4,2,10,0
31,1,4,16,3,11,0
33,1,12,20,4,17,0
36,1,8,12,4,13,0
77,1,6,50,4,19,0
78,1,13,10,3,17,0
81,1,25,13,3,12,0
82,1,8,15,3,14,0
83,1,13,20,2,14,0
85,1,7,20,3,13,0
89,1,10,6,3,16,0
94,1,0,25,5,10,0
103,1,13,10,3,12,0
112,1,4,26,3,14,0
128,1,7,8,2,11,0
129,1,20,20,3,16,0
131,1,15,25,4,17,0
