geo,entity,date,unemp_rate
AT,Austria,1998-Q1,5.5
AT,Austria,1999-Q1,4.7
AT,Austria,1999-Q2,3.5
AT,Austria,1999-Q3,3.2
AT,Austria,1999-Q4,3.5
AT,Austria,2000-Q1,4.7
AT,Austria,2000-Q2,3.1
AT,Austria,2000-Q3,3.1
AT,Austria,2000-Q4,3.2
AT,Austria,2001-Q1,4
AT,Austria,2001-Q2,3.4
AT,Austria,2001-Q3,3.3
AT,Austria,2001-Q4,3.7
AT,Austria,2002-Q1,4.9
AT,Austria,2002-Q2,3.6
AT,Austria,2002-Q3,3.6
AT,Austria,2002-Q4,3.8
AT,Austria,2003-Q1,4.8
AT,Austria,2003-Q2,4.2
AT,Austria,2003-Q3,3.9
AT,Austria,2003-Q4,4.3
AT,Austria,2004-Q1,5.8
AT,Austria,2004-Q2,5.4
AT,Austria,2004-Q3,5.3
AT,Austria,2004-Q4,5.4
AT,Austria,2005-Q1,5.7
AT,Austria,2005-Q2,5.7
AT,Austria,2005-Q3,5.6
AT,Austria,2005-Q4,5.6
AT,Austria,2006-Q1,6
AT,Austria,2006-Q2,5.2
AT,Austria,2006-Q3,4.9
AT,Austria,2006-Q4,4.9
AT,Austria,2007-Q1,5.2
AT,Austria,2007-Q2,5
AT,Austria,2007-Q3,4.9
AT,Austria,2007-Q4,4.4
AT,Austria,2008-Q1,4.5
AT,Austria,2008-Q2,3.7
AT,Austria,2008-Q3,4
AT,Austria,2008-Q4,4.3
AT,Austria,2009-Q1,5
AT,Austria,2009-Q2,5.3
AT,Austria,2009-Q3,5.7
AT,Austria,2009-Q4,5.3
AT,Austria,2010-Q1,5.2
AT,Austria,2010-Q2,4.9
AT,Austria,2010-Q3,4.8
AT,Austria,2010-Q4,4.4
AT,Austria,2011-Q1,5.1
AT,Austria,2011-Q2,4.4
AT,Austria,2011-Q3,4
AT,Austria,2011-Q4,4.8
AT,Austria,2012-Q1,4.7
AT,Austria,2012-Q2,4.8
AT,Austria,2012-Q3,5.1
AT,Austria,2012-Q4,4.9
AT,Austria,2013-Q1,5.7
AT,Austria,2013-Q2,5
AT,Austria,2013-Q3,5.3
AT,Austria,2013-Q4,5.4
AT,Austria,2014-Q1,6
AT,Austria,2014-Q2,5.4
AT,Austria,2014-Q3,5.6
AT,Austria,2014-Q4,5.6
AT,Austria,2015-Q1,5.8
AT,Austria,2015-Q2,5.8
AT,Austria,2015-Q3,5.6
AT,Austria,2015-Q4,5.7
AT,Austria,2016-Q1,6.3
AT,Austria,2016-Q2,6.1
AT,Austria,2016-Q3,6.1
AT,Austria,2016-Q4,5.6
AT,Austria,2017-Q1,6
AT,Austria,2017-Q2,5.4
AT,Austria,2017-Q3,5.5
AT,Austria,2017-Q4,5.3
AT,Austria,2018-Q1,5.3
AT,Austria,2018-Q2,4.6
AT,Austria,2018-Q3,4.9
AT,Austria,2018-Q4,4.6
AT,Austria,2019-Q1,4.9
AT,Austria,2019-Q2,4.5
AT,Austria,2019-Q3,4.4
AT,Austria,2019-Q4,4.2
AT,Austria,2020-Q1,4.7
AT,Austria,2020-Q2,5.7
AT,Austria,2020-Q3,5.7
AT,Austria,2020-Q4,5.5
AT,Austria,2021-Q1,7.9
AT,Austria,2021-Q2,6.5
AT,Austria,2021-Q3,5.3
AT,Austria,2021-Q4,5.1
AT,Austria,2022-Q1,5.2
AT,Austria,2022-Q2,4.3
