Date,Mkt-RF,SMB,HML,RF
2019-08-23,-2.66,-0.56,-0.19,0.007
2019-08-26,1.08,-0.02,-0.17,0.007
2019-08-27,-0.46,-0.88,-0.68,0.007
2019-08-28,0.68,0.47,0.62,0.007
2019-08-29,1.35,0.31,0.34,0.007
2019-08-30,0.03,-0.38,0.23,0.007
2019-09-03,-0.87,-0.95,0.1,0.009
2019-09-04,1.08,-0.22,0.43,0.009
2019-09-05,1.42,0.41,0.71,0.009
2019-09-06,-0.02,-0.39,0.04,0.009
2019-09-09,0.07,0.74,3.07,0.009
2019-09-10,0.17,1.06,1.13,0.009
2019-09-11,0.88,1.33,-0.04,0.009
2019-09-12,0.22,-0.3,-0.13,0.009
2019-09-13,-0.01,0.01,0.74,0.009
2019-09-16,-0.23,0.9,0.53,0.009
2019-09-17,0.17,-0.59,-1.2,0.009
2019-09-18,-0.05,-0.76,0.05,0.009
2019-09-19,-0.05,-0.43,-0.46,0.009
2019-09-20,-0.48,0.29,0.15,0.009
2019-09-23,-0.02,-0.17,0.51,0.009
2019-09-24,-1.01,-0.73,0,0.009
2019-09-25,0.69,0.36,0.53,0.009
2019-09-26,-0.41,-0.96,0.11,0.009
2019-09-27,-0.62,-0.34,0.89,0.009
2019-09-30,0.5,-0.17,-0.48,0.009
2019-10-01,-1.31,-0.46,-0.59,0.007
2019-10-02,-1.73,0.89,-0.36,0.007
2019-10-03,0.8,-0.23,-0.89,0.007
2019-10-04,1.39,-0.46,-0.07,0.007
2019-10-07,-0.41,0.15,-0.02,0.007
2019-10-08,-1.61,-0.13,-0.13,0.007
2019-10-09,0.92,-0.55,-0.09,0.007
2019-10-10,0.59,-0.4,0.26,0.007
2019-10-11,1.23,0.47,0.2,0.007
2019-10-14,-0.18,-0.34,-0.04,0.007
2019-10-15,1.03,0.25,-0.25,0.007
2019-10-16,-0.24,0.4,0.23,0.007
2019-10-17,0.37,0.8,-0.29,0.007
2019-10-18,-0.49,-0.36,0.86,0.007
2019-10-21,0.71,0.16,0.36,0.007
2019-10-22,-0.34,0.23,0.86,0.007
2019-10-23,0.25,-0.09,0.26,0.007
2019-10-24,0.25,-0.26,-0.89,0.007
2019-10-25,0.51,0.28,0.08,0.007
2019-10-28,0.62,0.27,-0.24,0.007
2019-10-29,-0.13,0.3,0.5,0.007
2019-10-30,0.27,-0.37,-1.16,0.007
2019-10-31,-0.38,-0.26,-0.43,0.007
2019-11-01,1.08,0.48,0.84,0.006
2019-11-04,0.4,0.01,1.36,0.006
2019-11-05,-0.03,0.24,0.45,0.006
2019-11-06,-0.05,-0.72,0.24,0.006
2019-11-07,0.38,-0.15,0.52,0.006
2019-11-08,0.31,0.07,-0.36,0.006
2019-11-11,-0.19,0,-0.19,0.006
2019-11-12,0.16,-0.11,-0.15,0.006
2019-11-13,0.01,-0.21,-0.82,0.006
2019-11-14,0.07,-0.11,-0.25,0.006
2019-11-15,0.74,-0.26,-0.33,0.006
2019-11-18,0.02,-0.35,-0.52,0.006
2019-11-19,0.02,0.58,-0.95,0.006
2019-11-20,-0.33,0,-0.46,0.006
2019-11-21,-0.14,-0.35,0.1,0.006
2019-11-22,0.24,0.06,0.22,0.006
2019-11-25,0.92,1.32,-0.37,0.006
2019-11-26,0.19,0.06,-0.9,0.006
2019-11-27,0.44,0.23,-0.03,0.006
2019-11-29,-0.42,-0.04,-0.31,0.006
2019-12-02,-0.87,-0.25,0.48,0.007
2019-12-03,-0.66,0.6,-0.83,0.007
2019-12-04,0.6,0.13,0.25,0.007
2019-12-05,0.13,-0.21,0.47,0.007
2019-12-06,0.91,0.24,0.37,0.007
2019-12-09,-0.33,0.37,0.11,0.007
2019-12-10,-0.08,0.31,-0.08,0.007
2019-12-11,0.28,-0.07,0.14,0.007
2019-12-12,0.9,-0.14,1.15,0.007
2019-12-13,-0.03,-0.27,-0.55,0.007
2019-12-16,0.74,0.03,-0.05,0.007
2019-12-17,0.1,0.41,0.67,0.007
2019-12-18,-0.05,0.2,0.09,0.007
2019-12-19,0.43,-0.02,-0.42,0.007
2019-12-20,0.48,-0.3,-0.31,0.007
2019-12-23,0.1,0.19,-0.35,0.007
2019-12-24,0.01,0.39,0,0.007
2019-12-26,0.48,-0.54,0,0.007
2019-12-27,-0.1,-0.53,-0.07,0.007
2019-12-30,-0.57,0.19,0.55,0.007
2019-12-31,0.28,-0.01,0.12,0.007
2020-01-02,0.86,-0.88,-0.33,0.006
2020-01-03,-0.67,0.38,0,0.006
2020-01-06,0.36,-0.07,-0.55,0.006
2020-01-07,-0.19,-0.01,-0.25,0.006
2020-01-08,0.47,-0.05,-0.66,0.006
2020-01-09,0.65,-0.64,-0.48,0.006
2020-01-10,-0.34,-0.19,-0.33,0.006
2020-01-13,0.73,-0.11,-0.08,0.006
2020-01-14,-0.06,0.39,-0.18,0.006
2020-01-15,0.16,0.46,-0.81,0.006
2020-01-16,0.88,0.52,-0.12,0.006
2020-01-17,0.28,-0.64,-0.13,0.006
2020-01-21,-0.32,-0.51,-0.62,0.006
2020-01-22,0.08,-0.26,0.01,0.006
2020-01-23,0.07,-0.06,-0.14,0.006
2020-01-24,-0.97,-0.44,-0.29,0.006
2020-01-27,-1.56,0.37,-0.41,0.006
2020-01-28,1.02,-0.12,-0.42,0.006
2020-01-29,-0.11,-0.24,-0.98,0.006
2020-01-30,0.34,-0.68,0.69,0.006
2020-01-31,-1.74,-0.43,-0.35,0.006
2020-02-03,0.84,0.62,-0.67,0.006
2020-02-04,1.57,-0.06,-0.66,0.006
2020-02-05,0.97,0.33,1.47,0.006
2020-02-06,0.27,-0.44,-0.84,0.006
2020-02-07,-0.55,-0.79,-0.04,0.006
2020-02-10,0.73,-0.01,-0.89,0.006
2020-02-11,0.28,0.05,1.05,0.006
2020-02-12,0.66,0.15,-0.34,0.006
2020-02-13,-0.09,0.19,0.01,0.006
2020-02-14,0.15,-0.39,-0.66,0.006
2020-02-18,-0.19,0.16,-0.65,0.006
2020-02-19,0.6,0.18,0.04,0.006
2020-02-20,-0.35,0.49,0.68,0.006
2020-02-21,-1.12,-0.09,-0.01,0.006
2020-02-24,-3.39,0.18,0.01,0.006
2020-02-25,-3.09,-0.11,-0.68,0.006
2020-02-26,-0.53,-0.38,-1.2,0.006
2020-02-27,-4.22,0.79,0.05,0.006
2020-02-28,-0.78,0.3,-0.8,0.006
2020-03-02,4.31,-1.68,-0.43,0.006
2020-03-03,-2.79,0.81,-0.63,0.006
2020-03-04,4.03,-1.08,-1.17,0.006
2020-03-05,-3.38,0.24,-1.4,0.006
2020-03-06,-1.78,0.06,-1.49,0.006
2020-03-09,-7.79,-0.38,-4.76,0.006
2020-03-10,4.74,-2.49,0.8,0.006
2020-03-11,-5.05,-0.82,-0.8,0.006
2020-03-12,-9.63,-0.43,-1.17,0.006
2020-03-13,8.96,-2.69,3.03,0.006
